timestamp,phase,signal_state,green_duration,WEST,EAST,NORTH,SOUTH,CENTER,wait_W,wait_E,wait_N,wait_S,vehicles_passed,avg_wait
2026-04-02_18-19-58,EW,YELLOW,3,3,0,0,0,0,95.84,0.00,0.00,0.00,686,107.17
2026-04-02_18-20-01,EW,ALL_RED,3,3,0,0,0,0,86.74,0.00,0.00,0.00,686,106.93
2026-04-02_18-20-05,NS,GREEN,10,3,0,0,0,0,77.44,0.00,0.00,0.00,686,106.55
2026-04-02_18-20-11,NS,YELLOW,3,3,0,0,0,0,96.65,0.00,0.00,0.00,686,106.24
2026-04-02_18-20-14,NS,ALL_RED,3,3,0,0,0,0,105.93,0.00,0.00,0.00,686,106.17
2026-04-02_18-20-17,EW,GREEN,10,3,0,0,0,0,115.11,0.00,0.00,0.00,686,106.24
2026-04-02_18-20-43,EW,YELLOW,3,3,0,0,0,0,36.51,0.00,0.00,0.00,749,103.63
2026-04-02_18-20-46,EW,ALL_RED,3,3,0,0,0,0,27.38,0.00,0.00,0.00,749,102.71
2026-04-02_18-20-49,NS,GREEN,10,3,0,0,0,0,18.25,0.00,0.00,0.00,749,101.70
2026-04-02_18-20-56,NS,YELLOW,3,3,0,0,0,0,36.75,0.00,0.00,0.00,749,100.69
2026-04-02_18-20-59,NS,ALL_RED,3,3,0,0,0,0,46.05,0.00,0.00,0.00,749,99.96
2026-04-02_18-21-02,EW,GREEN,10,3,0,0,0,0,55.19,0.00,0.00,0.00,749,99.37
2026-04-08_12-47-58,NS,GREEN,10,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.00
2026-04-08_12-48-04,NS,YELLOW,3,3,3,0,0,0,18.39,18.39,0.00,0.00,0,17.64
2026-04-08_12-48-07,NS,ALL_RED,3,3,3,0,0,0,28.11,28.11,0.00,0.00,0,26.67
2026-04-08_12-48-10,EW,GREEN,15,3,3,0,0,0,37.50,37.50,0.00,0.00,0,37.04
2026-04-08_12-48-41,EW,YELLOW,3,3,3,0,0,0,0.00,0.00,0.00,0.00,150,19.63
2026-04-08_12-48-46,EW,ALL_RED,3,3,3,0,0,0,0.00,0.00,0.00,0.00,150,18.94
2026-04-08_12-48-49,NS,GREEN,10,3,3,0,0,0,0.00,0.00,0.00,0.00,150,17.80
2026-04-08_12-48-56,NS,YELLOW,3,3,3,0,0,0,22.39,22.39,0.00,0.00,150,18.26
2026-04-08_12-49-00,NS,ALL_RED,3,3,3,0,0,0,32.01,32.01,0.00,0.00,150,19.86
2026-04-08_12-49-03,EW,GREEN,16,3,3,0,0,0,41.06,41.06,0.00,0.00,150,22.91
2026-04-08_12-49-48,NS,GREEN,10,3,3,0,0,0,1.85,1.85,0.00,0.00,0,1.82
2026-04-08_12-49-54,NS,YELLOW,3,3,3,0,0,0,20.22,20.22,0.00,0.00,0,20.39
2026-04-08_12-49-57,NS,ALL_RED,3,3,3,0,0,0,29.70,29.70,0.00,0.00,0,29.63
2026-04-08_12-50-01,EW,GREEN,15,3,3,0,0,0,38.87,38.87,0.00,0.00,0,38.92
2026-04-08_13-04-24,NS,GREEN,10,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.00
2026-04-08_13-07-02,NS,GREEN,10,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.00
2026-04-08_13-13-08,NS,GREEN,10,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.00
2026-04-08_13-13-18,NS,YELLOW,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.00
2026-04-08_13-13-21,NS,ALL_RED,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.00
2026-04-08_13-22-18,NS,GREEN,10,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.00
2026-04-08_13-24-02,NS,GREEN,10,4,5,0,0,0,1.47,1.83,0.00,0.00,0,1.65
2026-04-08_13-24-08,NS,YELLOW,3,4,5,0,0,0,25.75,32.47,0.00,0.00,0,27.24
2026-04-08_13-24-12,NS,ALL_RED,3,4,5,0,0,0,39.17,49.23,0.00,0.00,0,43.83
2026-04-08_13-24-15,EW,GREEN,18,4,5,0,0,0,52.43,66.80,0.00,0.00,0,54.99
2026-04-08_13-24-49,EW,YELLOW,3,4,5,0,0,0,0.00,0.00,0.00,0.00,245,29.10
