scenario_type,cars_N,cars_S,cars_E,cars_W,wait_N,wait_S,wait_E,wait_W,phase_flag,rush_flag,ped_flag,best_green_time
medium,8,0,1,1,141.0,0.0,1.0,1.0,0,0,0,10
medium,1,0,2,4,1.0,0.0,25.0,37.0,1,0,0,10
medium,5,0,0,1,64.0,0.0,0.0,2.0,0,0,0,10
medium,6,0,0,4,44.0,0.0,0.0,43.0,1,0,0,10
medium,6,1,1,2,54.0,6.0,0.0,4.0,0,0,0,10
medium,2,1,2,4,3.0,0.0,5.0,66.0,1,0,0,10
medium,5,1,0,3,74.0,1.0,0.0,7.0,0,0,0,15
medium,3,0,0,5,9.0,0.0,0.0,93.0,1,0,0,15
medium,7,0,0,1,86.0,0.0,0.0,1.0,0,0,0,10
medium,1,0,2,4,2.0,0.0,20.0,37.0,1,0,0,10
medium,5,0,0,3,61.0,0.0,0.0,4.0,0,0,0,15
medium,1,0,0,4,1.0,0.0,0.0,55.0,1,0,0,10
medium,4,1,0,1,51.0,11.0,0.0,0.0,0,0,0,10
medium,2,0,1,4,3.0,0.0,4.0,39.0,1,0,0,10
medium,4,0,0,1,50.0,0.0,0.0,1.0,0,0,0,10
medium,1,0,0,3,2.0,0.0,0.0,31.0,1,0,0,10
medium,5,1,1,1,60.0,5.0,0.0,1.0,0,0,0,10
medium,1,0,1,2,3.0,0.0,3.0,22.0,1,0,0,10
medium,6,0,0,1,68.0,0.0,0.0,2.0,0,0,0,15
medium,1,0,0,4,2.0,0.0,0.0,71.0,1,0,0,10
medium,5,0,0,1,51.0,0.0,0.0,1.0,0,0,0,10
medium,2,0,2,4,3.0,0.0,6.0,45.0,1,0,0,10
medium,6,0,0,2,86.0,0.0,0.0,4.0,0,0,0,15
medium,0,0,0,4,0.0,0.0,0.0,51.0,1,0,0,10
medium,1,0,0,0,2.0,0.0,0.0,0.0,1,0,1,20
medium,0,0,1,0,0.0,0.0,2.0,0.0,0,0,0,10
medium,0,0,3,0,0.0,0.0,25.0,0.0,1,0,0,10
medium,0,1,0,0,0.0,2.0,0.0,0.0,1,0,1,20
medium,0,1,2,0,0.0,0.0,1.0,0.0,0,0,0,10
medium,0,1,3,1,0.0,1.0,20.0,9.0,1,0,0,10
medium,3,3,1,0,43.0,29.0,2.0,0.0,0,0,0,15
medium,1,0,6,0,1.0,0.0,75.0,0.0,1,0,0,15
medium,2,1,1,0,28.0,16.0,0.0,0.0,0,0,0,10
medium,0,0,3,2,0.0,0.0,37.0,14.0,1,0,0,10
medium,1,1,1,0,5.0,4.0,0.0,0.0,0,0,0,10
medium,0,1,3,0,0.0,4.0,30.0,0.0,1,0,0,10
medium,0,2,3,1,0.0,24.0,3.0,0.0,0,0,1,20
medium,1,1,4,3,1.0,1.0,48.0,15.0,1,0,0,10
medium,1,2,1,0,14.0,14.0,1.0,0.0,0,0,0,10
medium,0,0,4,0,0.0,0.0,35.0,0.0,1,0,0,10
medium,2,2,3,1,16.0,10.0,2.0,0.0,0,0,0,10
medium,1,0,3,0,0.0,0.0,33.0,0.0,1,0,1,20
medium,3,2,1,0,24.0,24.0,1.0,0.0,0,0,0,15
medium,0,0,3,0,0.0,0.0,29.0,0.0,1,0,0,10
medium,2,1,2,0,19.0,5.0,4.0,0.0,0,0,0,10
medium,0,2,4,1,0.0,3.0,28.0,5.0,1,0,0,10
medium,2,2,4,0,12.0,13.0,31.0,0.0,0,0,0,10
medium,1,0,5,1,1.0,0.0,49.0,4.0,1,0,1,45
medium,2,4,0,0,64.0,137.0,0.0,0.0,0,0,0,10
medium,0,1,0,0,0.0,1.0,0.0,0.0,1,0,0,10
medium,1,1,2,1,2.0,4.0,1.0,1.0,0,0,0,10
medium,0,0,3,3,0.0,0.0,17.0,17.0,1,0,0,10
medium,0,0,1,0,0.0,0.0,2.0,0.0,0,0,0,10
medium,0,1,4,0,0.0,0.0,41.0,0.0,1,0,0,10
medium,1,1,2,1,1.0,4.0,1.0,0.0,0,0,0,10
medium,0,0,1,0,0.0,0.0,8.0,0.0,1,0,0,10
medium,1,0,2,0,1.0,0.0,2.0,0.0,0,0,0,10
medium,0,0,2,0,0.0,0.0,11.0,0.0,1,0,0,10
medium,1,1,1,0,1.0,7.0,1.0,0.0,0,0,0,10
medium,0,0,2,0,0.0,0.0,13.0,0.0,1,0,0,10
medium,0,1,1,0,0.0,2.0,1.0,0.0,0,0,0,10
medium,0,0,2,0,0.0,0.0,6.0,0.0,1,0,0,10
medium,1,1,2,0,3.0,6.0,1.0,0.0,0,0,0,10
medium,0,0,2,0,0.0,0.0,12.0,0.0,1,0,0,10
medium,0,1,3,0,0.0,3.0,2.0,0.0,0,0,0,10
medium,0,0,2,0,0.0,0.0,13.0,0.0,1,0,0,10
medium,0,1,3,1,0.0,5.0,6.0,0.0,0,0,0,10
medium,0,0,3,0,0.0,0.0,36.0,0.0,1,0,0,10
medium,0,1,1,0,0.0,1.0,1.0,0.0,0,0,0,10
